INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: BTCUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: BTCUSDT
INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: ETHUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: ETHUSDT
INFO:ws_publisher:Starting WebSocket publisher
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881703792-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881703793-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881704974-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881704976-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881706081-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881706083-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881707190-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881707191-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881708344-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881708346-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881709451-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881709453-0
INFO:ws_publisher:Fake publisher heartbeat: running
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881710560-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881710561-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881711668-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881711669-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881712775-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881712776-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881713883-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881713885-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881714990-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881714992-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881716099-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881716101-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881717209-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881717228-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881718346-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881718348-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881719456-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881719459-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881720567-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881720569-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881721676-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881721677-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881722782-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881722784-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881723890-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881723892-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881724998-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881725000-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881726107-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881726109-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881727215-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881727217-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881728322-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881728323-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881729429-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881729430-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881730536-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881730538-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881731645-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881731646-0
