INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: BTCUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: BTCUSDT
INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: ETHUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: ETHUSDT
INFO:ws_publisher:Starting WebSocket publisher
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815155977-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815157086-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815157089-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815158196-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815158198-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815159307-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815159308-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815160413-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815160414-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815161521-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815161524-0
