№ Сделки;Тип;Дата и время;Сигнал;Цена USDT;Размер позиции (кол-во);Размер позиции (цена);Чистая прибыль / убыток USDT;Чистая прибыль / убыток %;Благоприятное отклонение USDT;Благоприятное отклонение %;Неблагоприятное отклонение USDT;Неблагоприятное отклонение %;Совокупные ПР/УБ USDT;Совокупные ПР/УБ %
70;Вход в короткую позицию;2025-06-22 10:30;RsiSE;2283.2;0.4379;999.81328;21.61;2.16;22.3;2.23;-2.16;-0.22;737.37;7.37
71;Выход из длинной позиции;2025-06-23 03:30;TP Достигнут;2246.61;0.4553;999.879777;21.59;2.16;22.3;2.23;-39.74;-3.97;758.95;7.59
71;Вход в длинную позицию;2025-06-22 20:00;RsiLE;2196.09;0.4553;999.879777;21.59;2.16;22.3;2.23;-39.74;-3.97;758.95;7.59
72;Выход из короткой позиции;2025-06-23 19:30;TP Достигнут;2191.92;0.4457;999.941321;21.62;2.16;22.3;2.23;-31.49;-3.15;780.57;7.81
72;Вход в короткую позицию;2025-06-23 13:30;RsiSE;2243.53;0.4457;999.941321;21.62;2.16;22.3;2.23;-31.49;-3.15;780.57;7.81
73;Выход из короткой позиции;2025-07-02 04:00;TP Достигнут;2373.63;0.4116;999.986316;21.62;2.16;22.3;2.23;-39.98;-4.00;802.19;8.02
73;Вход в короткую позицию;2025-06-24 22:30;RsiSE;2429.51;0.4116;999.986316;21.62;2.16;22.3;2.23;-39.98;-4.00;802.19;8.02
74;Выход из короткой позиции;2025-07-04 17:00;TP Достигнут;2506.5;0.3897;999.779247;21.61;2.16;22.3;2.23;-27.99;-2.80;823.8;8.24
74;Вход в короткую позицию;2025-07-03 08:00;RsiSE;2565.51;0.3897;999.779247;21.61;2.16;22.3;2.23;-27.99;-2.80;823.8;8.24
75;Выход из короткой позиции;2025-07-11 00:00;SL Достигнут;2841.95;0.3983;999.952065;-133.49;-13.34;8.98;0.90;-132.7;-13.26;690.31;6.90
75;Вход в короткую позицию;2025-07-05 02:30;RsiSE;2510.55;0.3983;999.952065;-133.49;-13.34;8.98;0.90;-132.7;-13.26;690.31;6.90
76;Выход из короткой позиции;2025-07-12 15:30;TP Достигнут;2916.6;0.3349;999.766923;21.61;2.16;22.3;2.23;-9.26;-0.93;711.93;7.12
76;Вход в короткую позицию;2025-07-11 21:30;RsiSE;2985.27;0.3349;999.766923;21.61;2.16;22.3;2.23;-9.26;-0.93;711.93;7.12
77;Выход из короткой позиции;2025-07-16 21:00;SL Достигнут;3337.48;0.3391;999.76853;-133.46;-13.34;5.2;0.52;-132.67;-13.26;578.46;5.78
77;Вход в короткую позицию;2025-07-13 13:00;RsiSE;2948.3;0.3391;999.76853;-133.46;-13.34;5.2;0.52;-132.67;-13.26;578.46;5.78
78;Выход из короткой позиции;2025-07-20 19:30;SL Достигнут;3819.54;0.2963;999.760645;-133.46;-13.34;18.26;1.83;-132.67;-13.26;445;4.45
78;Вход в короткую позицию;2025-07-17 01:30;RsiSE;3374.15;0.2963;999.760645;-133.46;-13.34;18.26;1.83;-132.67;-13.26;445;4.45
79;Выход из короткой позиции;2025-07-22 07:30;TP Достигнут;3687.97;0.2649;999.94452;21.62;2.16;22.3;2.23;-23.85;-2.38;466.62;4.67
79;Вход в короткую позицию;2025-07-21 13:30;RsiSE;3774.8;0.2649;999.94452;21.62;2.16;22.3;2.23;-23.85;-2.38;466.62;4.67
80;Выход из короткой позиции;2025-07-23 23:30;TP Достигнут;3545.74;0.2755;999.85011;21.62;2.16;22.3;2.23;-38.1;-3.81;488.23;4.88
80;Вход в короткую позицию;2025-07-22 11:30;RsiSE;3629.22;0.2755;999.85011;21.62;2.16;22.3;2.23;-38.1;-3.81;488.23;4.88
81;Выход из короткой позиции;2025-08-01 21:00;TP Достигнут;3552.72;0.275;999.999;21.62;2.16;22.3;2.23;-85.12;-8.51;509.85;5.10
